bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
59869,30,AB1,5,Vetoed,2009-10-11,"Teachers: program of professional growth: conflict","An act to amend Section 44277 of the Education Code, relating to teachers.",0,,2010-01-14,"Consideration of Governor's veto stricken from file.",https://legiscan.com/CA/bill/AB1/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_1&sess=0910&house=A
59870,30,AB2,5,Vetoed,2009-10-11,"Individual health care coverage.","An act to add Sections 1389.9, 1389.10, 1389.11, 1389.13, 1389.14, 1389.15, 1389.16, 1389.17, 1389.18, 1389.19, 1389.20, 1389.22, and 1389.24 to, and to repeal and add Section 1389.1 of, the Health and Safety Code, and to amend Sections 10270.95, 10291.5, and 12957 of, and to add Sections 10384.1, 10384.12, 10384.14, 10384.16, 10384.18, 10384.2, 10384.22, 10384.24, 10384.26, 10384.28, 10384.29, 10384.3, 10384.32, and 10396 to, the Insurance Code, relating to health care coverage.",0,,2010-01-14,"Consideration of Governor's veto stricken from file.",https://legiscan.com/CA/bill/AB2/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_2&sess=0910&house=A
59871,30,AB3,5,Vetoed,2009-10-11,"Workforce development: Renewable Energy Workforce","An act to amend Sections 14202, 14203, 14204, 14205, 14221, and 14230 of, and to add Section 14013.5 to, the Unemployment Insurance Code, relating to workforce development.",0,,2010-01-14,"Consideration of Governor's veto stricken from file.",https://legiscan.com/CA/bill/AB3/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_3&sess=0910&house=A
59872,30,AB4,1,Introduced,2008-12-01,"Constitutional convention: delegates.","An act relating to the Constitutional Convention.",0,,2010-02-02,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB4/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_4&sess=0910&house=A
59873,30,AB5,4,Passed,2009-06-29,"Civil discovery: Electronic Discovery Act.","An act to amend Sections 2016.020, 2031.010, 2031.020, 2031.030, 2031.040, 2031.050, 2031.060, 2031.210, 2031.220, 2031.230, 2031.240, 2031.250, 2031.260, 2031.270, 2031.280, 2031.290, 2031.300, 2031.310, and 2031.320 of, and to add Sections 1985.8 and 2031.285 to, the Code of Civil Procedure, relating to civil discovery, and declaring the urgency thereof, to take effect immediately.",0,,2009-06-29,"Chaptered by Secretary of State - Chapter 5, Statutes of 2009.",https://legiscan.com/CA/bill/AB5/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_5&sess=0910&house=A
59874,30,AB6,5,Vetoed,2009-10-11,"Initiatives: paid circulators.","An act to add Section 9023 to the Elections Code, relating to elections.",0,,2010-01-14,"Consideration of Governor's veto stricken from file.",https://legiscan.com/CA/bill/AB6/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_6&sess=0910&house=A
59875,30,AB7,2,Engrossed,2009-06-02,"Interscholastic athletics: High School Baseball Safety","An act to add and repeal Section 35179.4 of the Education Code, relating to interscholastic athletics.",0,,2010-08-31,"To inactive file on motion of Senator Pavley.",https://legiscan.com/CA/bill/AB7/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_7&sess=0910&house=A
59876,30,AB8,5,Vetoed,2009-10-11,"Education finance: working group.","An act to amend and repeal Section 42238.21 of, and to add Section 41054 to, the Education Code, relating to education finance.",0,,2010-01-14,"Consideration of Governor's veto stricken from file.",https://legiscan.com/CA/bill/AB8/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_8&sess=0910&house=A
59877,30,AB9,4,Passed,2009-10-11,"Political Reform Act of 1974: expenditures.","An act to amend Sections 82015 and 82031 of the Government Code, relating to the Political Reform Act of 1974.",0,,2009-10-11,"Chaptered by Secretary of State - Chapter 363, Statutes of 2009.",https://legiscan.com/CA/bill/AB9/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_9&sess=0910&house=A
59878,30,AB10,1,Introduced,2008-12-01,"Public funding: actions.","An act to add Section 8314.4 to the Government Code, relating to public funds.",0,,2010-02-02,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB10/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_10&sess=0910&house=A
