,bill_gt,year_gt,bill_predict,year_predict,question
0,SBX 36,2009,AB 74,2019,"When did California pass legislation that amended Sections 4639.5, 4640.6, 11453, 12201, 12305.1, and 12306.1 of, and to add Sections 11450.02 and 12200.019 to, and to add and repeal Section 12200.018 of the Welfare and Institutions Code, relating to human services, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
1,AB 66,2009,AB 1505,2019,"When did California pass legislation that amended Section 49110 of the Education Code, relating to schools.? The answer should be formatted as: Year: ,Bill:"
2,SBX 51,2010,AB 1505,2019,"When did California pass legislation that amended Sections 52052.5, 60601, 60603, 60604, 60605.6, 60606, 60640, 60643, 60643.1, and 60900 of, to add Sections 10601.6, 10802.5, 10807, 49079.7, 44227.2, 60604.5, 60605.7, 60605.8, and 60605.9 to, and to add Chapter 18 (commencing with Section 53100) to Part 28 of Division 4 of Title 2 of, the Education Code, and to amend Section 1095 of the Unemployment Insurance Code, relating to public schools.? The answer should be formatted as: Year: ,Bill:"
3,AB 2510,2010,AB 340,2012,"When did California pass legislation that added Section 22894 to the Government Code, relating to public employees' retirement.? The answer should be formatted as: Year: ,Bill:"
4,AB 428,2009,AB 1331,2018,"When did California pass legislation that amended Section 11105 of the Penal Code, relating to criminal history records.? The answer should be formatted as: Year: ,Bill:"
5,AB 498,2010,AB 85,2021,"When did California pass legislation that amended Section 5101.5 of the Vehicle Code, relating to vehicles.? The answer should be formatted as: Year: ,Bill:"
6,SB 1058,2010,AB 395,2019,"When did California pass legislation that amended Sections 331, 332, 3686, 4332, 4656, 4751, 4902, and 4903 of, to add Section 3953 to, to repeal Section 3685 of, and to repeal and add Sections 3684 and 4334 of, the Fish and Game Code, relating to hunting.? The answer should be formatted as: Year: ,Bill:"
7,ABX 25,2009,AB 84,2021,"When did California pass legislation that amended Section 511 of the Labor Code, relating to employment.? The answer should be formatted as: Year: ,Bill:"
8,AB 1586,2010,AB 2989,2018,"When did California pass legislation that added Section 28767.8 to the Public Utilities Code, relating to transportation.? The answer should be formatted as: Year: ,Bill:"
9,AB 1070,2009,AB 2138,2019,"When did California pass legislation that amended Sections 801.01, 2006, 2008, 2225.5, 2227, and 2425.3 of, and to add Section 804.5 to, the Business and Professions Code, and to amend Sections 12529, 12529.5, 12529.6, and 12529.7 of the Government Code, relating to healing arts.? The answer should be formatted as: Year: ,Bill:"
10,AB 951,2009,AB 1810,2018,"When did California pass legislation that amended Sections 5378, 5378.5, 5411, 5411.3, 5412, 5412.2, 5413, 5413.5, and 5414 of the Public Utilities Code, relating to charter-party carriers.? The answer should be formatted as: Year: ,Bill:"
11,AB 896,2009,AB 74,2019,"When did California pass legislation that amended and repeal Section 14105.18 of the Welfare and Institutions Code, relating to health care.? The answer should be formatted as: Year: ,Bill:"
12,AB 890,2009,AB 756,2019,"When did California pass legislation that added Section 116335 to the Health and Safety Code, relating to public water systems.? The answer should be formatted as: Year: ,Bill:"
13,AB 2199,2010,AB 1025,2019,"When did California pass legislation that amended Section 8050 of the Welfare and Institutions Code, relating to mental health.? The answer should be formatted as: Year: ,Bill:"
14,AB 1011,2010,AB 824,2019,"When did California pass legislation that amended Sections 926.1, 926.2, and 12939 of the Insurance Code, relating to insurer investment.? The answer should be formatted as: Year: ,Bill:"
15,SB 488,2009,SB 100,2018,"When did California pass legislation that amended Section 25310 of the Public Resources Code, and to add and repeal Sections 715 and 9615.5 of the Public Utilities Code, relating to energy.? The answer should be formatted as: Year: ,Bill:"
16,AB 2783,2010,AB 1076,2019,"When did California pass legislation that amended Section 35 of the Business and Professions Code, relating to professions and vocations.? The answer should be formatted as: Year: ,Bill:"
17,SB 855,2010,AB 617,2017,"When did California pass legislation that amended Sections 25173.6, 25187, 25214.3, and 25215.7 of, and to add Sections 44272.3, 44272.4, and 44272.7 to, the Health and Safety Code, to amend Sections 4137, 4142, 14560, 14581, 25421, 25449.4, 25461, 25806, and 48004 of, to amend, repeal, and add Section 71305 of, to add Sections 4124, 5016.2, 14556, and 25464 to, and to add and repeal Section 3402.3 of, the Public Resources Code, to add Sections 13628.5 and 85214 to the Water Code, and to amend Section 1 of Chapter 384 of the Statutes of 2009, relating to resources, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
18,AB 1766,2010,AB 74,2019,"When did California pass legislation that amended Section 18986.62 of the Welfare and Institutions Code, relating to health and human services.? The answer should be formatted as: Year: ,Bill:"
19,AB 658,2010,AB 80,2021,"When did California pass legislation that added and repeal Article 14.5 (commencing with Section 18856) of Chapter 3 of Part 10.2 of Division 2 of the Revenue and Taxation Code, relating to taxation.? The answer should be formatted as: Year: ,Bill:"
20,SB 93,2009,ABx1 26,2011,"When did California pass legislation that amended Sections 33445 and 33679 of, and to add Sections 33445.1 and 33505 to, the Health and Safety Code, relating to redevelopment.? The answer should be formatted as: Year: ,Bill:"
21,SB 1458,2010,AB 361,2021,"When did California pass legislation that amended Section 32130.6 of the Health and Safety Code, relating to public health, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
22,AB 2746,2010,AB 1534,2021,"When did California pass legislation that amended Section 10089.7 of the Insurance Code, relating to insurance.? The answer should be formatted as: Year: ,Bill:"
23,AB 561,2009,AB 1755,2018,"When did California pass legislation that amended Sections 241.5 and 243.65 of the Penal Code, relating to crimes against highway workers.? The answer should be formatted as: Year: ,Bill:"
24,AB 939,2010,AB 2684,2018,"When did California pass legislation that amended Sections 215, 2030, 2032, 2034, 2330.3, 2400, 2403, 2450, 2451, 3027, 3121, 3150, 3151, 3183, 3557, 6323, and 6340 of, and to add Section 217 to, the Family Code, and to amend Section 328 of, and to add Section 827.10 to, the Welfare and Institutions Code, relating to family law proceedings.? The answer should be formatted as: Year: ,Bill:"
25,AB 2213,2010,AB 1366,2019,"When did California pass legislation that amended Sections 871.5, 872, 873, and 878 of the Public Utilities Code, relating to telecommunications.? The answer should be formatted as: Year: ,Bill:"
26,AB 1245,2009,AB 1819,2018,"When did California pass legislation that added Chapter 3.01 (commencing with Section 6204) to Division 7 of Title 1 of the Government Code, relating to public records.? The answer should be formatted as: Year: ,Bill:"
27,SB 671,2009,AB 1487,2019,"When did California pass legislation that amended Section 51203 of the Government Code, relating to local government.? The answer should be formatted as: Year: ,Bill:"
28,ABX 320,2009,AB 101,2021,"When did California pass legislation that added Article 12 (commencing with Section 8879.77) to Chapter 12.491 of Division 1 of Title 2 of the Government Code, and to add Chapter 9.5 (commencing with Section 2420) to Division 3 of the Streets and Highways Code, relating to transportation, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
29,SB 1172,2010,AB 107 (2021),2021,"When did California pass legislation that amended Section 156.1 of, and to add Sections 315.2 and 315.4 to, the Business and Professions Code, relating to regulatory boards.? The answer should be formatted as: Year: ,Bill:"
30,SB 1368,2010,AB 74,2019,"When did California pass legislation that amended Sections 129040 and 129050 of the Health and Safety Code, and to amend Sections 12695.18 and 12705 of the Insurance Code, relating to health, and making an appropriation therefor.? The answer should be formatted as: Year: ,Bill:"
31,AB 1749,2010,AB 403,2019,"When did California pass legislation that amended Section 8547.2 of, and to add Section 8547.13 to, the Government Code, relating to whistleblower protection.? The answer should be formatted as: Year: ,Bill:"
32,SB 1096,2010,AB 2913,2018,"When did California pass legislation that amended Sections 25500.1, 25500.2, and 25502.1 of the Business and Professions Code, relating to alcoholic beverages.? The answer should be formatted as: Year: ,Bill:"
33,SB 867,2010,AB 1554,2019,"When did California pass legislation that added Section 20229 to the Government Code, relating to public employee benefits, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
34,AB 2402,2010,AB 2386,2018,"When did California pass legislation that added Section 89030.5 to the Education Code, relating to the California State University.? The answer should be formatted as: Year: ,Bill:"
35,SB 678,2009,AB 1950,2018,"When did California pass legislation that added and repeal Chapter 3 (commencing with Section 1228) of Title 8 of Part 2 of the Penal Code, relating to probation.? The answer should be formatted as: Year: ,Bill:"
36,SB 1072,2010,AB 5,2019,"When did California pass legislation that amended Section 19605.73 of, to add Sections 19601.02, 19605.74, and 19642.1 to, and to add Article 9.1 (commencing with Section 19604.5) to Chapter 4 of Division 8 of, the Business and Professions Code, relating to horse racing.? The answer should be formatted as: Year: ,Bill:"
37,AB 2350,2010,SB 439,2019,"When did California pass legislation that amended Section 207 of the Welfare and Institutions Code, relating to juveniles.? The answer should be formatted as: Year: ,Bill:"
38,AB 2651,2010,AB 1714,2019,"When did California pass legislation that amended Section 16773 of the Government Code, to amend Sections 998.402 and 998.404 of, and to add Section 988.6 to, the Military and Veterans Code, relating to veterans, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
39,AB 1179,2009,AB 1816,2018,"When did California pass legislation that amended Section 1874.87 of the Insurance Code, relating to motor vehicle insurance.? The answer should be formatted as: Year: ,Bill:"
40,SB 1047,2010,AB 587,2019,"When did California pass legislation that amended Section 799.1 of the Civil Code, relating to mobilehomes.? The answer should be formatted as: Year: ,Bill:"
41,SBX 315,2009,AB 91,2019,"When did California pass legislation that amended Sections 17039.2, 23036.2, 23101, 25120, and 25135 of, to amend, repeal, and add Section 25136 of, to add Sections 6902.5, 17053.85, 19136.8, 23685, and 25128.5 to, and to add and repeal Sections 17053.80 and 23623 of, the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.? The answer should be formatted as: Year: ,Bill:"
42,SB 1476,2010,AB 1054,2019,"When did California pass legislation that added Chapter 5 (commencing with Section 8380) to Division 4.1 of, and to repeal Section 393 of, the Public Utilities Code, relating to public utilities.? The answer should be formatted as: Year: ,Bill:"
